Hash,en,vi,char
story.Global.prologue_boxpuzzle_explanation.text.5127ee45f5d64a6fbfe3f27c37d8beea71cf8b3f,"Alright, let's see…","Rồi, coi nào…",Kat
story.Global.prologue_boxpuzzle_explanation.text.0e38c332e3a68470735df29d9b4ef5dd21c1a5c2,According to my notes…,Dựa theo ghi chú thì…,Kat
story.Global.prologue_boxpuzzle_explanation.text.7a6a98d9c89edd44dda70c219ee11bdc71cb190d,I need to move the desks to the sides in all three classrooms.,Đầu tiên phải kéo tất cả bàn học dạt sang hai bên trong cả ba lớp học.,Kat
story.Global.prologue_boxpuzzle_explanation.text.1f4aee5ce6fd5c23c3d0ba0466edc66749f2521a,"Then I can draw a ""path"" in the middle of each one with chalk.","Sau đó vẽ một ""con đường"" bằng phấn ở chính giữa mỗi phòng.",Kat
story.Global.prologue_boxpuzzle_explanation.text.6a36f5c97736b9ab9013672b97d67d453de9145c,"Well, I'll leave the chalk drawing for last. I want to gather everything I need first.",Vẽ đường thì để cuối hẵng làm đi. Mình muốn đi kiếm các món đồ cần thiết về đây trước.,Kat
,,,
story.Global.prologue_check_plants_cut.text.6329e8a7c52b3f3d8e22117c3eb6d3ca2ae1ff42,Oh no…,Trời ơi…,Kaya
story.Global.prologue_check_plants_cut.text.c994deb18593c8d8a50b63c6872c2e7774cf2711,What are you doing…? Is this part of the ritual?,Mày làm cái gì thế…? Này cũng trong nghi thức à?,Juli
,,,
story.Global.prologue_check_plants_cut.text.be9de4cb21c061133a2d908557b21c5a8b41cfa6,Um… what's wrong with you?,Ê… mày bị sao vậy mày?,Saki
story.Global.prologue_check_plants_cut.text.14823da364c5b4ffe05585bf06e9182d494771ac,"If this ritual involves the mass genocide of harmless plants, then I want nothing to do with it.",Nếu nghi thức hay gì đấy mà phải thảm sát cây cối vô hại thế này thì tao không có muốn dính dáng gì hết nhá.,Saki
story.Global.prologue_check_plants_cut.text.f965096ab02c7c90ddc4f72df5ebd77885ea3387,Agreed.,Đồng tình.,Juli
,,,
story.Global.prologue_check_plants_cut.text.8799a772c4fb396e35f00a4b0f74e8928980c961,Are you seriously going to go around killing all the plants?,Thiệt tình mày tính lòng vòng giết cho hết cây cối vậy luôn hả?,Saki
story.Global.prologue_check_plants_cut.text.d2b100e7d08f55aeecc15e13110b72d7aabbc9d5,I knew you were a psychopath…,Quả nhiên mày bị tâm thần rồi…,Saki
story.Global.prologue_check_plants_cut.text.ef3aada0e2404993532733408a29bc6d65522cab,"Sorry Kat, but we didn't sign up for this.","Xin lỗi nha Kat, bọn tao không có tham dự để làm cái chuyện này đâu.",Juli
story.Global.prologue_check_plants_cut.text.80f3007acea925bd534b9a7cb9354a891d6b8eab,I don't like this ritual anymore…,Tao không có muốn coi nghi thức nữa…,Kaya
story.Global.prologue_check_plants_cut.text.be9e520a9337bc2952919f7d9d0ece6283f51964,"Don't worry Kaya, we're going home now.","Không sao Kaya, giờ mình đi về luôn.",Juli
story.Global.prologue_check_plants_cut.text.35f1a0ab71339bc315e57b1aeddeeea76e10bade,Don't talk to us again.,Đừng có mà bắt chuyện bọn tao nữa.,Saki
,,,
story.Global.prologue_classroom_misc_cubicles.text.24a04612760725bc6b9a45f8a60a34fa9e573db8,Shelves for the students to place their school bags.,Kệ tủ cho học sinh để cặp táp.,
story.Global.prologue_classroom_misc_cubicles.text.7141dd76d5f74b98e7baa6a346b65f5424b3c338,There are no bags right now though.,Mà giờ không có cái cặp nào cả.,
,,,
story.Global.prologue_cutscene_ritual_1.text.a64bab41229e760e6a3777df0df4d89b8fa7373f,Everything's ready.,Đến đây là xong xuôi hết rồi.,Kat
story.Global.prologue_cutscene_ritual_1.text.e9a37dc0299fbe32789eb529cb417520a49733e8,All that's left is to wait 5 minutes and then burn the hair.,Còn lại là chờ 5 phút rồi đốt nhúm tóc thôi.,Kat
story.Global.prologue_cutscene_ritual_1.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Kat
story.Global.prologue_cutscene_ritual_1.text.d9209023e7ea00416d4032543816863a4c9630d5,This is going to be such a pain to clean up.,Rồi thu dọn cái đống này chắc cũng mệt gãy xương.,Kat
,,,
story.Global.prologue_cutscene_ritual_1.text.77f093b27a3b2e995135c69d91b6df892af56b15,Seriously? Stop messing with things!,Thiệt luôn!? Mày thôi mò vào mấy chuyện kì lạ giùm đi!,???
story.Global.prologue_cutscene_ritual_1.text.7abf611b05a393449db18eaaf7668d1e3d39ebd6,"But everything I ""mess with"" ends up being a scam.","Nhưng mà mấy chuyện tao ""mò vào"" kết cục đều là xạo mà.",Kat
story.Global.prologue_cutscene_ritual_1.text.1683c0a3cdf4b32ddb41ecdaefde6416c39d352e,What if some day it isn't?,Lỡ ngày nào đó thành thật thì sao?,???
story.Global.prologue_cutscene_ritual_1.text.0faa47340686c7ea5b8842c2e51eb18fda860e01,What if you end up summoning some ghost or the devil and condemning your soul to an eternity in the netherworld?,Lỡ mày gọi ra ma hay ra quỷ rồi linh hồn mày bị rơi vào địa ngục mãi luôn thì sao?,???
story.Global.prologue_cutscene_ritual_1.text.59f3a18db288f85ed0d8fc51b97bf913523fdaac,What if your soul is already damned!?,Lỡ đâu linh hồn mày đã bị nguyền rủa rồi thì sao!?,???
story.Global.prologue_cutscene_ritual_1.text.dea670a65c365df5ab2a0ba82b2a9c9c4243f4be,Then I guess that's what's waiting for me after I die.,Thế thì chắc khi tao chết rồi tao đi xuống đó thôi.,Kat
story.Global.prologue_cutscene_ritual_1.text.883d3b8a0eec6aea03cc2379827e6e510d5e7b28,KAT!,KAT!,???
story.Global.prologue_cutscene_ritual_1.text.c340ab10b73ed4cef65ccbef5eca63c2cd37d2f5,It was a joke!,Tao đùa mà!,Kat
story.Global.prologue_cutscene_ritual_1.text.8e33ef65600bfca2ec27cda6f29f0b160902c765,"You're not gonna find him this way, you know?",Có làm thế này cũng không tìm ra được người đó đâu mày biết không?,???
story.Global.prologue_cutscene_ritual_1.text.379d48c305c7044e33627aab25c95c82a28ff95e,"You'll just do whatever you want no matter what I say, won't you?",Mà giờ tao có bảo gì thì mày cũng cứ làm gì mày muốn làm thôi nhỉ?,???
story.Global.prologue_cutscene_ritual_1.text.742ab30bd3058011598b73e57eb7ee1f371bdbbd,It's possible.,Làm là làm được.,Kat
story.Global.prologue_cutscene_ritual_1.text.ad04058a6b1fe6a6c9b6e8f8b7f5c2197d4e4820,Stubborn idiot.,Cái con khùng ngoan cố.,???
story.Global.prologue_cutscene_ritual_1.text.89534cb67434b171a18c04c55327348cfa482d5b,"I prefer ""ambitious idiot"".","Gọi là ""Con khùng có khát vọng"" thì tao ưng hơn.",Kat
story.Global.prologue_cutscene_ritual_1.text.39269f96fa2dacef17188e1f5dcff8394c5a8c82,So… will you tell me where the letter is?,Thế… mày cho tao biết thư ở đâu được chưa?,Kat
story.Global.prologue_cutscene_ritual_1.text.76aadae4874b4a90af00dfac5ad2f8a0ddf3ca58,"You exhaust me Kat, you know that?",Tao hết hơi với mày rồi đấy Kat mày biết không?,???
story.Global.prologue_cutscene_ritual_1.text.06c89242f9cc19584850e1b9eff4a7b7cc385b2f,And yet here we are.,Thế mà vẫn ấy đây này.,Kat
story.Global.prologue_cutscene_ritual_1.text.6d9f9d1bc6b602886e1f7025425c149cf46b369b,Fine. You win. It's in the occult club.,Rồi rồi mày thắng. Thư nó ở trong câu lạc bộ huyền bí.,???
story.Global.prologue_cutscene_ritual_1.text.b4c780012d6db8d0ded87a45b256d81cd876c064,There's a golden envelope in one of the drawers. But they won't let you sniff around since you're not a member.,Cái phong bì màu vàng trong một cái hộc bàn đâu trong đó. Mà mày không phải thành viên nên bọn nó không cho vào lục đâu.,???
story.Global.prologue_cutscene_ritual_1.text.0003951eb45f1c8b0e23224b586f5bd60d09f659,"Thanks, you're the best!","Cảm ơn nhé, có mày tuyệt ghê!",Kat
,,,
story.Global.prologue_cutscene_ritual_1.text.73fef01e230300ae6fc10ffd739157b067709157,Huh?,Hử?,Kat
story.Global.prologue_cutscene_ritual_1.text.3d39d3bfb8b32f98d718cb1c17c6cd4477420392,(Is there somebody at the door..?),(Có ai ở ngoài cửa à…?),Kat
,,,
story.Global.prologue_cutscene_ritual_2.text.8d3b11b3af0674578a90b532930e58ba5424b056,"Alright, now I just have to blow the candles off. So let's-","Được rồi, giờ chỉ cần thổi tắt nến nữa. Làm ngay nào…",
story.Global.prologue_cutscene_ritual_2.text.03d0a57262180f83cc0cda3f4f24f4e5194dc881,Huh? The candles… Did they just…?,Ủa? Sao nến… tự nhiên…?,
story.Global.prologue_cutscene_ritual_2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,
story.Global.prologue_cutscene_ritual_2.text.f562ec6ff971d601427de2930f8b6a17cb0725cc,…I guess I should count to 100…,…Chắc cứ đếm đến 100 vậy…,
story.Global.prologue_cutscene_ritual_2.text.a07a79135caa2bf195bacb1024cf4442daefb9d2,"1, 2, 3, 4, 5…","1, 2, 3, 4, 5…",
story.Global.prologue_cutscene_ritual_2.text.e20bec7cd385c6c6736841d877125bbf0f13a6a4,"…28, 29, 30…","…28, 29, 30…",
story.Global.prologue_cutscene_ritual_2.text.4d0e2ef5a3e58bd0d60ee6483525e0263aa3f37c,(Why am I doing this? This ridiculous game couldn't possibly work.),(Sao mình lại làm thế này nhỉ? Cái trò vớ vẩn này làm gì có chuyện.),
story.Global.prologue_cutscene_ritual_2.text.ea0f9ea2d6bd15acf991bebdbee7ec5dcc487911,"…55, 56, 57, 58…","…55, 56, 57, 58…",
story.Global.prologue_cutscene_ritual_2.text.9f3b2e73ff059f1e15207db83a419f0faab5698c,(I wonder if mom is worried about me…),(Không biết mẹ có lo không…),
story.Global.prologue_cutscene_ritual_2.text.42da0ab99639f234614eafa04595db6d8e861677,(Huh? What was that?),(Hở? Cái gì vừa đó?),
story.Global.prologue_cutscene_ritual_2.text.a4807c7808158dae30ae05a09ae9984f7dff2a00,"…79, 80, 81…","…79, 80, 81…",
story.Global.prologue_cutscene_ritual_2.text.85ef29aea70860719d7b26a3282d88c231374faf,(What's all that noise!?),(Tiếng động đấy tức là gì!?),
story.Global.prologue_cutscene_ritual_2.text.0e00e0ff3f0a86c286adffa9c492f08ad3322b51,Is anyone there…?,Ai đang đó đấy…?,
story.Global.prologue_cutscene_ritual_2.text.88b4970c95a11bd5be9cf3eda4a29cbc682211f3,"…97, 98, 99…","…97, 98, 99…",
story.Global.prologue_cutscene_ritual_2.text.7d064bfe0e4836eb5c970e4c5877869ce151b356,…100.,…100.,
story.Global.prologue_cutscene_ritual_2.text.9b5344b53320b61a37686ea5a93890a6be02865c,So… I… open my eyes?,Vậy… mình mở mắt ra… nhỉ?,
story.Global.prologue_cutscene_ritual_2.text.b10bfc0cdd882190ff9bf462e5620e85b5bcc85d,It… worked?,Được rồi… sao?,
story.Global.prologue_cutscene_ritual_2.text.066a218d6ef4d207f8df715f83168aaa61779d6d,It worked?,Được rồi?,
story.Global.prologue_cutscene_ritual_2.text.7be8a4d3c4a6f4e64d5b10af8e73003de9e7c029,It worked!! I can't believe it!,Được rồi nè!! Ghê thiệt trời!,
story.Global.prologue_cutscene_ritual_2.text.1018f8b8a10ddb63a37010e255b183a2510091da,This is incredible!!,Hay quá hay quá!!,
story.Global.prologue_cutscene_ritual_2.text.200af5181c647d104a4003dec4fe434860e7062e,But… where am I?,Nhưng mà… đây là đâu?,
story.Global.prologue_cutscene_ritual_2.text.cda894802482068bb3d97d0b5a496a2c44bf98d9,It's a… hallway? It definitely isn't the school.,Hành lang… à? Rõ ràng không phải ở trường.,
story.Global.prologue_cutscene_ritual_2.text.765d4c97b8ca1d08fedc40bee888263e7a3e7b20,"This is unbelievable, how could it have worked?","Không thể tin nổi, rốt cuộc chuyện này là sao?",
story.Global.prologue_cutscene_ritual_2.text.86239d7d2894a5917154f5401cb4d85e376cfca2,It doesn't make any logical sense. I was in the classroom a minute ago. Have I gone mad?,Về logic cũng chẳng có lý gì cả. Một phút trước là ở lớp cơ mà. Mình khùng mất rồi sao?,
story.Global.prologue_cutscene_ritual_2.text.2186014984095c8986fe6cd46f87af61ae0bec1e,"THIS IS SO EXCITING, I CAN'T BELIEVE IT WORKED!","HƯNG PHẤN QUÁ, THỰC SỰ LÀ ĐƯỢC RỒI ĐÂY NÈ!",
story.Global.prologue_cutscene_ritual_2.text.665f5b8d399a51e10d35037f2968524c99e2e67f,"If I wake up from this and it turns out to be a dream… well… that would be disappointing, to say the least.","Giờ mà thức dậy một cái hóa ra là mơ thì… chán lắm à nha, nói chí ít là thế.",
story.Global.prologue_cutscene_ritual_2.text.4131739729f99357ddf308bdc72abd6408d5e2ad,Okay. I definitely need to check this place out.,Ô kê. Phải đi lòng vòng ngắm nghía nơi này mới được.,
,,,
story.Global.prologue_cutscene_ritual_2.choice.text.74d5410fad0d438c102abf44d6543734b697b0c0,Do you wish to save your progress?,Bạn muốn lưu tiến trình chứ?,
story.Global.prologue_cutscene_ritual_2.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Lưu,
story.Global.prologue_cutscene_ritual_2.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Thôi,
,,,
story.Global.prologue_cutscene_ritual_girls.text.8a13d9b29bbc375ec3d2b8f5d400c7cbc5ec379c,Now what?,Giờ sao đây?,Juli
story.Global.prologue_cutscene_ritual_girls.text.27f2c10be5c805961a9008743ee8e7a62ac35fc4,Now we just wait 5 minutes.,Giờ đợi 5 phút.,Kat
story.Global.prologue_cutscene_ritual_girls.text.e39e8fd285238907b4d9a2fb34c0cbd48d6d1fca,Doing nothing?,Cứ đứng đợi thôi à?,Saki
story.Global.prologue_cutscene_ritual_girls.text.e324f5a71a8d0364cddb546dfb1c1d2b0d2f3f9e,Peace and quiet are not as bad as you imagine.,"Cứ yên lặng mà đợi đi, đức tính không có xấu xa gì hết.",Kat
story.Global.prologue_cutscene_ritual_girls.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Saki
story.Global.prologue_cutscene_ritual_girls.text.27c0e8fdd475ae6dc459f6e4cf2e0ed5804d363c,"After that, I'll burn the hair and you help me blow out the candles one by one.",Sau đó tao đốt tóc rồi bọn mày giúp tao thổi tắt từng cái nết một.,Kat
story.Global.prologue_cutscene_ritual_girls.text.d7a4adf621d07eb2f91b7b6a4c3acfd0958aa0ca,Burnt hair smells bad…,Đốt tóc mùi kinh lắm đó…,Kaya
story.Global.prologue_cutscene_ritual_girls.text.cc6e467c405ff6e899ff6afb85ecff3f4a545291,It does.,Ừ đúng.,Kat
story.Global.prologue_cutscene_ritual_girls.text.f85169cbc60fba5a5872a63a9642688388bdaa89,"But it's the last step, might as well do it right.","Nhưng đấy là bước cuối rồi, cũng phải làm cho đàng hoàng.",Kat
story.Global.prologue_cutscene_ritual_girls.text.3c201f47af7989c9c537b3b9632d943d09c25cc0,What happens then?,Xong rồi thì sao nữa?,Juli
story.Global.prologue_cutscene_ritual_girls.text.f6d83edc45f0b5db67760927a6156b71e8e91b28,No idea.,Chịu.,Kat
story.Global.prologue_cutscene_ritual_girls.text.e7da47b65ddbdbb71c9821469db4be65290b7dfe,Really?,Thiệt trời?,Saki
story.Global.prologue_cutscene_ritual_girls.text.48ddf60ef6d01c2d11e1a5c09b8e7c3e7b5ee3d7,"We probably just clean up and go home. These rituals are a scam, you know?",Chắc thu dọn rồi về nhà là hết thôi. Dù gì ba nghi thức kiểu này cũng là xạo thôi í mà.,Kat
story.Global.prologue_cutscene_ritual_girls.text.0cf48a4caa4a9cf4d8c7817934cfc7322a61eb8e,"So… you're just making us make a mess, so that we can help you clean it up?","Thế… tức là mày cho bọn tao bày bừa ra vầy, xong bọn tao giúp mày thu dọn đống này à?",Juli
story.Global.prologue_cutscene_ritual_girls.text.fc99d18a3b6169273fb557aae017c984dba4663f,"What's the matter, are you not entertained?",Vấn đề gì sao? Lại chả háo hức quá.,Kat
story.Global.prologue_cutscene_ritual_girls.text.9baa59f88b821933467def38048f2a9ff7a7a947,…Tsk.,…Chậc.,Juli
,,,
story.Global.prologue_cutscene_ritual_girls.text.1d724c012150715dedf43215e3bf63986157eda9,I think it's time.,Sắp hết 5 phút rồi đó.,Kat
story.Global.prologue_cutscene_ritual_girls.text.689f1069f423b0c9e7cc1f62ced369d544041a13,Finally!,Cuối cùng cũng hết!,Saki
story.Global.prologue_cutscene_ritual_girls.text.ac3388fc02adb7f378c4cdcf30cbfee771c97ae6,Now I just burn this…,Giờ đốt một phát…,Kat
story.Global.prologue_cutscene_ritual_girls.text.068893a5585241b8386e4e7264367e5cbe030672,"Quickly, put out the candles now!",Nhanh nhanh đi tắt hết nến đi!,Kat
story.Global.prologue_cutscene_ritual_girls.text.960c9f1cb1af598a9e1b23e38c15a5a96de76e07,"Now, shut your eyes and be quiet while I count to one hundred, okay?","Giờ nhắm mắt lại rồi cứ im lặng còn tao đếm đến 100, OK?",Kat
story.Global.prologue_cutscene_ritual_girls.text.fa97725633bd52ddb8fb0409986f9de3133d8182,Got it.,Rồi.,Juli
story.Global.prologue_cutscene_ritual_girls.text.aaf408076f7109a1ecd347ef7835013d24f86125,"Alright then, I'll start.","Được, vậy tao bắt đầu đây.",Kat
story.Global.prologue_cutscene_ritual_girls.text.a07a79135caa2bf195bacb1024cf4442daefb9d2,"1, 2, 3, 4, 5…","1, 2, 3, 4, 5…",Kat
story.Global.prologue_cutscene_ritual_girls.text.e20bec7cd385c6c6736841d877125bbf0f13a6a4,"…28, 29, 30…","…28, 29, 30…",Kat
story.Global.prologue_cutscene_ritual_girls.text.ea0f9ea2d6bd15acf991bebdbee7ec5dcc487911,"…55, 56, 57, 58…","…55, 56, 57, 58…",Kat
story.Global.prologue_cutscene_ritual_girls.text.2b541c08b795c762aa27e41c4d40b590b5d8b87a,Shhh!,Xoẹttt!,Kat
story.Global.prologue_cutscene_ritual_girls.text.a4807c7808158dae30ae05a09ae9984f7dff2a00,"…79, 80, 81…","…79, 80, 81…",Kat
story.Global.prologue_cutscene_ritual_girls.text.e8c307e57c585c2080bf7332bccab4909fba12d5,(Huh…?),(Hở…?),Kat
story.Global.prologue_cutscene_ritual_girls.text.c45dcb552b34dc913238cb26305b3073dd783ecd,(What the hell was that!?),(Vừa mới cái quái gì thế!?),Kat
story.Global.prologue_cutscene_ritual_girls.text.d24b63256b9e38d0c2b4d91259c5f755fde9cc55,"…94, 95, 96, 97, 98, 99, 100!","…94, 95, 96, 97, 98, 99, 100!",Kat
story.Global.prologue_cutscene_ritual_girls.text.a78e6701b02292287dbaa5e15dc69ca645092a47,Huh…?,Ủa…?,Kat
story.Global.prologue_cutscene_ritual_girls.text.ce3d7224f2b8f596af766145d1cc69ceb42395bb,What the…?,Sao…?,Kat
story.Global.prologue_cutscene_ritual_girls.text.4fa71a53c1d14c68b45d72ea32880bc3f1b67c1f,Are those…?,Bọn nó…?,Kat
,,,
story.Global.prologue_draw_chalk.text.5a053350f6b83e0f6b083698c6c4c35858dd38b2,"Well… my lines aren't perfect, but it should do the job!","Chà… không hoàn hảo lắm, nhưng này là đủ xài rồi đó!",
story.Global.prologue_draw_chalk.text.c6387a980df306afaac67616985533cf376033fb,I need to do this in all three rooms.,Cần làm thế này hết cả ba phòng thì mới được.,
story.Global.prologue_draw_chalk.text.b29396525f24fbe7ad65c8f824655c0ea82d59ad,"Two down, one to go.","Xong hai rồi, còn một thôi.",
,,,
story.Global.prologue_ending_k2.text.a7f4a8991d8b9edf5f397781c6891c4c4a821f78,"That night… I got cold feet, I guess.","Đêm đó… mình bị nhát quá, chắc vậy.",
story.Global.prologue_ending_k2.text.453e77b4d7d5b7cdaa716bbe7c273236d5bb4754,I went home without completing the ritual.,Nghi thức hãy chưa xong mà đã về nhà rồi.,
story.Global.prologue_ending_k2.text.899676bc9ee27a7eb0ddb2ffef68513153b440a6,"Despite that, I made plans to try again.","Dẫu vậy, mình đã lập kế hoạch thử sức lại.",
story.Global.prologue_ending_k2.text.13d445dc136b68ee35d5592f937d5a138c74da5e,"However, both my notes and the letter had disappeared without a trace.","Thế nhưng, cả ghi chú lẫn thư của mình đều biến mất tiêu không một dấu vết.",
story.Global.prologue_ending_k2.text.9c6806e368df7cac1664af6e0667d347196b7b5a,I tried telling myself that maybe the ritual was a scam anyways…,Mình tự nhủ bản thân rằng cái nghi thức đó đằng nào cũng là xạo thôi mà…,
story.Global.prologue_ending_k2.text.6069f127223610f828c0bb834e13b00f7fb65212,But now… how will I ever know?,Nhưng mà ngộ nhỡ… thì sao?,
story.Global.prologue_ending_k2.text.448474fd6f3cf8f077c86efad23a4d1df14eec9e,Dead End K2 - Cold Kat Feet,Kết Đứt K2 – Nhát Meo,
,,,
story.Global.prologue_ending_k3.text.5ec90e03adac13c26c70a0f18fb22b00a704c941,What's… going on?,Rốt cuộc… là sao đây?,
story.Global.prologue_ending_k3.text.7c24fec035c27d28c9facc402b14e29a8c961852,These stairs are making no sense right now.,Cầu thang này cứ kì kì ấy.,
story.Global.prologue_ending_k3.text.c6eb6366d092e365582ffe29b8e2156c8cffab88,This building has only 3 floors. I've taken these stairs every day…,Trường có 3 tầng thôi. Thang mình đi mỗi ngày cơ mà…,
story.Global.prologue_ending_k3.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,
story.Global.prologue_ending_k3.text.ffe8092755554f948d96549dfd89f84a367015d1,I must be really tired. I'll just go down without thinking.,Hẳn mình mệt lắm rồi. Cứ đi xuống đừng nghĩ sâu xa vậy.,
story.Global.prologue_ending_k3.text.357ca62ff09f0bd75252c36764cb58d2af7f3a4e,I can't… get anywhere…,Không ra được… đâu cả…,
story.Global.prologue_ending_k3.text.5c20c2c8d65fea9cf9b0f46d8bf06151419b6954,Am I dreaming right now?,Đang nằm mơ hay sao trời?,
story.Global.prologue_ending_k3.text.18267c3683cd57be130cae9149dad441e6a7a9d1,I think I'll just… rest here.,Thôi gì thì… nghỉ đây đã.,
story.Global.prologue_ending_k3.text.c74685cc0e5821d48377e92e437ede148e75bfb5,Tomorrow morning… someone will wake me up.,Đến sáng… ai đó gọi mình dậy thôi.,
story.Global.prologue_ending_k3.text.d2367e10c90397c4383f247e46d48580fe87eb23,"Hopefully at home, in my own bed.","Nếu được thì, trên giường nhà mình.",
story.Global.prologue_ending_k3.text.2883d5ef81c1db09562b0b8d77b3e8c7d896ff7b,"The next time I woke up, I was still in the same place.","Sau đó lúc tỉnh lại, tôi vẫn ở đúng chỗ này.",
story.Global.prologue_ending_k3.text.440f67107d599d20783ddfaee2ba9d94690d1c8c,"I tried again. Going up, going down… it made no difference.","Tôi cố thử lại. Đi lên, đi xuống… Chẳng gì thay đổi.",
story.Global.prologue_ending_k3.text.f7745e562735a7ca48a43588623ec796a18533c5,I decided to make an experiment with chalk.,"Thành ra, tôi quyết định lấy phấn thí nghiệm xem.",
story.Global.prologue_ending_k3.text.f9a5c2bd90ffb99555b553709dd52d3acdfb2a4a,Logic would dictate that this X isn't here if I go up or down a floor.,Tuân theo logic thì dấu X này phải không ở đây sau khi mình đi lên hay đi xuống.,
,,,
story.Global.prologue_ending_k3_pt2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,
story.Global.prologue_ending_k3_pt2.text.f1f173c2b0c85eed09c9fbc9091c443f407069b0,I'm… trapped…,Mình… bị kẹt rồi…,
story.Global.prologue_ending_k3_pt2.text.76147416d1febf63ccd6e5b3f3057e222408b294,I don't think I'm going to make it home tonight either…,Có vẻ đêm nay cũng không về được nhà luôn rồi…,
story.Global.prologue_ending_k3_pt2.text.cb032a9f62589faa5f11e5776478c318abeb7ba2,Sorry Mom.,Con xin lỗi mẹ.,
story.Global.prologue_ending_k3_pt2.text.a20ebfaa8efc301dc73ad1956e11e2c35037ce14,Dead End K3 - Academic Spiral,Kết Đứt K3 – Trường Xoáy,
,,,
story.Global.prologue_ending_k4.text.ad08572b11066fa1409d4000078d5f724ef0dd09,"And so, we went home without completing the ritual.","Và rồi, bọn tôi cứ thế về nhà mà không làm xong nghi thức đấy.",
story.Global.prologue_ending_k4.text.8cf9812954c97fee678942f0fb77b95634a568d4,"For some reason, I lost interest after that.","Do sao đó, sau lần ấy tôi mất hứng luôn.",
story.Global.prologue_ending_k4.text.ed70d04c7aa6ddd501bda35a91779c39ae4dc453,"In exchange, I gained some new people to talk to.","Nhưng thay vào đó, tôi có được mấy người cùng trò chuyện mới.",
story.Global.prologue_ending_k4.text.8cd40009ea9f87bdf90b06f0449c5d83fa27a2af,"Well, I suppose the ritual couldn't have been that important anyways.","Ôi dào, đằng nào nghi thức đó cũng có phải gì quan trọng mấy đâu.",
story.Global.prologue_ending_k4.text.f8d684cf65bb786433e6c29f6a11364e3c3ec4eb,Dead End K4 - Nevermind Forever,Kết Đứt K4 – Vĩnh Bất Niệm,
,,,
story.Global.prologue_ending_k5.text.648ea3e9db14318a79d3ad4291b6080d76493ff3,"You know, despite the rules,","Ái chả, mặc dù có luật rồi,",
story.Global.prologue_ending_k5.text.137ae09f0c4e5df2ca0377491d7fc9eb7fa6f11f,every so often some moron thinks they can bring in an entire group.,thi thoảng lại có mấy đứa ngốc nghĩ rằng có thể dắt cả bọn vào cơ đấy.,
story.Global.prologue_ending_k5.text.7a51f962c6363a63ecbad7289dd060fb99b819eb,Huh? Who's there?,Hở? Ai đấy?,Kat
story.Global.prologue_ending_k5.text.f7746926aec26f9b15e290bd2d30f7f6897cacf6,Where is this place…?,Đây là đâu vậy…?,Kat
story.Global.prologue_ending_k5.text.ffb2e34bd15ce1c357de1f44923aadd666b35467,I would have at least made it interesting for you.,Ta lại tính cho ngươi thấy điều thú vị chút nữa cơ.,
story.Global.prologue_ending_k5.text.e37b99ef62b4c4792fe603ed06f08cb60c1fe54e,But now? Forget it.,"Nhưng mà tầm này thì, khỏi đi nhé.",
story.Global.prologue_ending_k5.text.1a4c965c08d02b772a9715d4a3a7e813285ce82b,What? Wait-!,Ê? Từ từ–?,Kat
story.Global.prologue_ending_k5.text.87cece88105f59cf36df372cccfa7bb269cf63f3,Dead End K5 - Party Wipe,Kết Đứt K5 – Sạch Bọn,
,,,
story.Global.prologue_ending_k6.text.416ce944d4068566c5f09cf6e6a40427c699960b,"Once they were gone, I felt a bit guilty so I went home as well.","Sau khi bọn nó đi về, tôi thấy chút tội lỗi nên cũng về nhà luôn.",
